ticker,symbolFA,nameFA,industryIndex,market
IRO7FNRP0001,فنرژی,گسترش صنایع انرژی آذرآب,IREXMETALLICPRODUCTS,37
IRO7SRJP0001,ساروج,بین المللی ساروج بوشهر,IREXCEMENT,37
IRO7JMIP0001,وجامی,سرمایه گذاری جامی,IREXINVESTMENTS,37
IRO7ABYP0001,آبین,کشت و صنعت آبشیرین,IREXFARMPRODUCTS,37
IRO7THSP0001,شتهران,داروسازی تهران شیمی,IREXPHARMACEUTICALS,37
IRO7GPHP0001,دقاضی,داروسازی شهید قاضی,IREXPHARMACEUTICALS,37
IRO7TNIP0001,بنو,بیمه تجارت نو,IREXINSURANCEDIVERSIFIED,37
IRO7CPCP0001,وکاسپی,اعتباری کاسپین,IREXBANKSCREDITINSTITUTIONS,37
IRO7NGJP0001,کنگار,کاشی و سرامیک نگار گستر جلگه,IREXTILE,37
IRO7SEIP0001,وبرق,س.کارکنان صنعت برق زنجان وقزوی,IREXINVESTMENTS,37
IRO7ITIP0001,کاصفا,صنایع کاشی اصفهان,IREXTILE,37
IRO7NLTP0001,کنیلو,کاشی نیلو,IREXTILE,37
IRO7MLIP0001,بخاور,بیمه زندگی خاورمیانه,IREXINSURANCEDIVERSIFIED,37
IRO7IRTP0001,کچینی,چینی ایران,IREXTILE,37
IRO7HSIP0001,وحکمت,بیمه حکمت صبا,IREXINSURANCEDIVERSIFIED,37
IRO7TONP0001,خعمرا,توسعه و عمران شهرستان نائین,IREXAUTOPARTS,37
IRO7PPAP0001,شپمچا,پارس پامچال,IREXCHEMICALSDIVERSIFIED,37
IRO7PGIP0001,وپسا,س. پتروشیمی ساختمان خلیج فارس,IREXINVESTMENTS,37
IRO7KACP0001,سکارون,سیمان کارون,IREXCEMENT,37
IRO7MFMP0001,شمواد,تولید مواداولیه الیاف مصنوعی,IREXCHEMICALSDIVERSIFIED,37
IRO7POIP0001,شپلی,پلی اکریل ایران,IREXCHEMICALSDIVERSIFIED,37
IRO7AIBP0001,وآداک,صنعت و تجارت آداک,IREXINVESTMENTS,37
IRO7ZMNP0001,وزمین,بانک ایران زمین,IREXBANKSCREDITINSTITUTIONS,37
IRO7MIGP0001,کمینا,شیشه سازی مینا,IREXOTHERNONMETALLICPRODUCTS,37
IRO7OECP0001,شساخت,مهندسی و ساختمان صنایع نفت,IREXDRILLING,37
IRO7MIVP0001,وملت,سرمایه گذاری ملت,IREXINVESTMENTS,37
IRO7RFNZ0001,خفناور,مهندسی صنعتی روان فن آور,IREXAUTOPARTS,37
IRO7NPMP0001,غپونه,نوش پونه مشهد,IREXOTHERFOODPRODUCTS,37
IRO7SDLP0001,خکاوه,سایپا دیزل,IREXAUTOMANUFACTURERS,37
